,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15
"Levy, Ilan ",153, CONTINUING,153,1, CONTINUING,154,1, CONTINUING,155,3, CONTINUING,158,3, CONTINUING,161,0, CONTINUING,161,5, CONTINUING,166,21, DEFEATED -- 8th count,187,-187, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0,0, DEFEATED -- 8th count,0
"Mello, Gary W. ",119, CONTINUING,119,0, CONTINUING,119,0, CONTINUING,119,1, CONTINUING,120,14, CONTINUING,134,4, CONTINUING,138,8, DEFEATED -- 7th count,146,-146, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0,0, DEFEATED -- 7th count,0
"Moree, Gregg J. ",78, CONTINUING,78,1, CONTINUING,79,2, CONTINUING,81,1, CONTINUING,82,1, DEFEATED -- 5th count,83,-83, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0,0, DEFEATED -- 5th count,0
"Courtney, Kim ",72, CONTINUING,72,0, CONTINUING,72,12, CONTINUING,84,0, CONTINUING,84,0, CONTINUING,84,0, DEFEATED -- 6th count,84,-84, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0,0, DEFEATED -- 6th count,0
"Williamson, James M. ",72, CONTINUING,72,1, CONTINUING,73,0, CONTINUING,73,2, DEFEATED -- 4th count,75,-75, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0,0, DEFEATED -- 4th count,0
"Degoes, Jr., Plinio T. ",51, CONTINUING,51,1, CONTINUING,52,0, DEFEATED -- 3rd count,52,-52, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0,0, DEFEATED -- 3rd count,0
"Sanzone, John ",32, CONTINUING,32,1, DEFEATED -- 2nd count,33,-33, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
"Dietrich, Xavier ",27, CONTINUING,27,0, DEFEATED -- 2nd count,27,-27, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 1 ,25, CONTINUING,25,0, DEFEATED -- 2nd count,25,-25, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 2 ,1, CONTINUING,1,0, DEFEATED -- 2nd count,1,-1, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 4 ,1, CONTINUING,1,0, DEFEATED -- 2nd count,1,-1, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 3 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 5 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 6 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 7 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 8 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
Write-In 9 ,0, CONTINUING,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0,0, DEFEATED -- 2nd count,0
EXHAUSTED PILE: ,0, ,0,0, ,0,20, ,20,9, ,29,7, ,36,15, ,51,14, ,65,21, ,86,13, ,99,37, ,136,35, ,171,50, ,221,188, ,409,335, ,744,1036, ,1780
