,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13
"Mallon, Alanna M. ",1220.0, CONTINUING,1220.0,332.0, CONTINUING,1552.0,0.0, CONTINUING,1552.0,4.0, CONTINUING,1556.0,6.0, CONTINUING,1562.0,5.0, CONTINUING,1567.0,31.0, CONTINUING,1598.0,43.0, CONTINUING,1641.0,72.0, CONTINUING,1713.0,92.0, CONTINUING,1805.0,109.0, CONTINUING,1914.0,169.0, CONTINUING,2083.0,99, ELECTED -- 13th count,2182
"Williams, Nicola A. ",1159.0, CONTINUING,1159.0,85.0, CONTINUING,1244.0,0.0, CONTINUING,1244.0,1.0, CONTINUING,1245.0,4.0, CONTINUING,1249.0,9.0, CONTINUING,1258.0,41.0, CONTINUING,1299.0,95.0, CONTINUING,1394.0,68.0, CONTINUING,1462.0,35.0, CONTINUING,1497.0,193.0, DEFEATED -- 11th count,1690.0,-1690.0, DEFEATED -- 11th count,0.0,0, DEFEATED -- 11th count,0
"Skeadas, Theodora Theo ",813.0, CONTINUING,813.0,98.0, CONTINUING,911.0,4.0, CONTINUING,915.0,0.0, CONTINUING,915.0,2.0, CONTINUING,917.0,4.0, CONTINUING,921.0,7.0, CONTINUING,928.0,49.0, CONTINUING,977.0,69.0, CONTINUING,1046.0,58.0, DEFEATED -- 10th count,1104.0,-1104.0, DEFEATED -- 10th count,0.0,0.0, DEFEATED -- 10th count,0.0,0, DEFEATED -- 10th count,0
"McGuirk, Joe ",611.0, CONTINUING,611.0,30.0, CONTINUING,641.0,0.0, CONTINUING,641.0,4.0, CONTINUING,645.0,14.0, CONTINUING,659.0,6.0, CONTINUING,665.0,17.0, CONTINUING,682.0,14.0, CONTINUING,696.0,31.0, DEFEATED -- 9th count,727.0,-727.0, DEFEATED -- 9th count,0.0,0.0, DEFEATED -- 9th count,0.0,0.0, DEFEATED -- 9th count,0.0,0, DEFEATED -- 9th count,0
"Bullister, Dana ",520.0, CONTINUING,520.0,25.0, CONTINUING,545.0,3.0, CONTINUING,548.0,10.0, CONTINUING,558.0,3.0, CONTINUING,561.0,13.0, CONTINUING,574.0,8.0, CONTINUING,582.0,17.0, DEFEATED -- 8th count,599.0,-599.0, DEFEATED -- 8th count,0.0,0.0, DEFEATED -- 8th count,0.0,0.0, DEFEATED -- 8th count,0.0,0.0, DEFEATED -- 8th count,0.0,0, DEFEATED -- 8th count,0
"Hicks, Tonia D. ",363.0, CONTINUING,363.0,46.0, CONTINUING,409.0,1.0, CONTINUING,410.0,9.0, CONTINUING,419.0,1.0, CONTINUING,420.0,5.0, CONTINUING,425.0,24.0, DEFEATED -- 7th count,449.0,-449.0, DEFEATED -- 7th count,0.0,0.0, DEFEATED -- 7th count,0.0,0.0, DEFEATED -- 7th count,0.0,0.0, DEFEATED -- 7th count,0.0,0.0, DEFEATED -- 7th count,0.0,0, DEFEATED -- 7th count,0
"Pierre, Frantz ",355.0, CONTINUING,355.0,27.0, CONTINUING,382.0,0.0, CONTINUING,382.0,0.0, CONTINUING,382.0,2.0, CONTINUING,384.0,0.0, DEFEATED -- 6th count,384.0,-384.0, DEFEATED -- 6th count,0.0,0.0, DEFEATED -- 6th count,0.0,0.0, DEFEATED -- 6th count,0.0,0.0, DEFEATED -- 6th count,0.0,0.0, DEFEATED -- 6th count,0.0,0.0, DEFEATED -- 6th count,0.0,0, DEFEATED -- 6th count,0
"Levy, Ilan ",97.0, CONTINUING,97.0,2.0, CONTINUING,99.0,0.0, CONTINUING,99.0,2.0, CONTINUING,101.0,2.0, DEFEATED -- 5th count,103.0,-103.0, DEFEATED -- 5th count,0.0,0.0, DEFEATED -- 5th count,0.0,0.0, DEFEATED -- 5th count,0.0,0.0, DEFEATED -- 5th count,0.0,0.0, DEFEATED -- 5th count,0.0,0.0, DEFEATED -- 5th count,0.0,0.0, DEFEATED -- 5th count,0.0,0, DEFEATED -- 5th count,0
"Moree, Gregg J. ",80.0, CONTINUING,80.0,3.0, CONTINUING,83.0,0.0, CONTINUING,83.0,1.0, DEFEATED -- 4th count,84.0,-84.0, DEFEATED -- 4th count,0.0,0.0, DEFEATED -- 4th count,0.0,0.0, DEFEATED -- 4th count,0.0,0.0, DEFEATED -- 4th count,0.0,0.0, DEFEATED -- 4th count,0.0,0.0, DEFEATED -- 4th count,0.0,0.0, DEFEATED -- 4th count,0.0,0.0, DEFEATED -- 4th count,0.0,0, DEFEATED -- 4th count,0
"Eckstut, Robert ",70.0, CONTINUING,70.0,4.0, CONTINUING,74.0,0.0, DEFEATED -- 3rd count,74.0,-74.0, DEFEATED -- 3rd count,0.0,0.0, DEFEATED -- 3rd count,0.0,0.0, DEFEATED -- 3rd count,0.0,0.0, DEFEATED -- 3rd count,0.0,0.0, DEFEATED -- 3rd count,0.0,0.0, DEFEATED -- 3rd count,0.0,0.0, DEFEATED -- 3rd count,0.0,0.0, DEFEATED -- 3rd count,0.0,0.0, DEFEATED -- 3rd count,0.0,0, DEFEATED -- 3rd count,0
Write-In 1 ,32.0, CONTINUING,32.0,0.0, DEFEATED -- 2nd count,32.0,-32.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0, DEFEATED -- 2nd count,0
Write-In 9 ,1.0, CONTINUING,1.0,0.0, DEFEATED -- 2nd count,1.0,-1.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0, DEFEATED -- 2nd count,0
Write-In 2 ,0.0, CONTINUING,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0, DEFEATED -- 2nd count,0
Write-In 3 ,0.0, CONTINUING,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0, DEFEATED -- 2nd count,0
Write-In 4 ,0.0, CONTINUING,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0, DEFEATED -- 2nd count,0
Write-In 5 ,0.0, CONTINUING,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0, DEFEATED -- 2nd count,0
Write-In 6 ,0.0, CONTINUING,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0, DEFEATED -- 2nd count,0
Write-In 7 ,0.0, CONTINUING,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0, DEFEATED -- 2nd count,0
Write-In 8 ,0.0, CONTINUING,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0.0, DEFEATED -- 2nd count,0.0,0, DEFEATED -- 2nd count,0
EXHAUSTED PILE: ,0.0, ,0.0,0.0, ,0.0,13.0, ,13.0,10.0, ,23.0,11.0, ,34.0,14.0, ,48.0,65.0,  ,113.0,38.0, ,151.0,39.0, ,190.0,109.0,  ,299.0,83.0, ,382.0,225.0,  ,607.0,1569, ,2176
TOTALS: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0, ,21814
